,TYPE,YEAR,MONTH,HUNDRED_BLOCK,h_block,full_address,lat,lon,lat_offset,lon_offset,cid
3955,Theft From Auto Under $5000,2007,4,1XX W CORDOVA ST,100 W CORDOVA ST,"100 W CORDOVA ST , Vancouver, BC, Canada",49.2828258,-123.1070009,49.28307636,-123.1066303,1
3956,Theft From Auto Under $5000,2007,4,5XX WHEELHOUSE SQ,500 WHEELHOUSE SQ,"500 WHEELHOUSE SQ , Vancouver, BC, Canada",49.2692149,-123.1154674,49.26956137,-123.1150151,1
3957,Theft From Auto Under $5000,2007,4,GRANVILLE ST / W 10TH AVE,GRANVILLE ST / W 10TH AVE,"GRANVILLE ST & W 10TH AVE , Vancouver, BC, Canada",49.26264,-123.13738,49.26283638,-123.1371105,1
3958,Theft From Auto Under $5000,2007,4,13XX BLOCK ROBSON ST,1300 BLOCK ROBSON ST,"1300 BLOCK ROBSON ST , Vancouver, BC, Canada",49.28707,-123.12925,49.28731214,-123.128755,1
3959,Theft From Auto Under $5000,2007,4,HOMER ST / DAVIE ST,HOMER ST / DAVIE ST,"HOMER ST & DAVIE ST , Vancouver, BC, Canada",49.27528,-123.1233,49.27566928,-123.1229521,1
3960,Theft From Auto Under $5000,2007,4,1XX W CORDOVA ST,100 W CORDOVA ST,"100 W CORDOVA ST , Vancouver, BC, Canada",49.2828258,-123.1070009,49.28296112,-123.1068793,1
3961,Theft From Auto Under $5000,2007,4,5XX E HASTINGS ST,500 E HASTINGS ST,"500 E HASTINGS ST , Vancouver, BC, Canada",49.2810745,-123.0932008,49.28150482,-123.0927715,1
3962,Theft From Auto Under $5000,2007,4,5XX BLOCK RICHARDS ST,500 BLOCK RICHARDS ST,"500 BLOCK RICHARDS ST , Vancouver, BC, Canada",49.2831573,-123.1129627,49.28330708,-123.1128141,1
3963,Theft From Auto Under $5000,2007,4,14XX ANDERSON ST,1400 ANDERSON ST,"1400 ANDERSON ST , Vancouver, BC, Canada",49.2708035,-123.135533,49.27097247,-123.1353752,1
3964,Theft From Auto Under $5000,2007,4,ALBERNI ST / JERVIS ST,ALBERNI ST / JERVIS ST,"ALBERNI ST & JERVIS ST , Vancouver, BC, Canada",49.28768,-123.12751,49.28807827,-123.1272679,1
3965,Theft From Auto Under $5000,2007,4,E 58TH AVE / ONTARIO ST,E 58TH AVE / ONTARIO ST,"E 58TH AVE & ONTARIO ST , Vancouver, BC, Canada",49.2177,-123.10622,49.21794729,-123.1059036,1
3966,Theft From Auto Under $5000,2007,4,28XX W 24TH AVE,2800 W 24TH AVE,"2800 W 24TH AVE , Vancouver, BC, Canada",49.2508651,-123.1680207,49.25121975,-123.1678679,1
3967,Theft From Auto Under $5000,2007,4,12XX SEYMOUR ST,1200 SEYMOUR ST,"1200 SEYMOUR ST , Vancouver, BC, Canada",49.2762888,-123.1253264,49.27642145,-123.1251518,1
3968,Theft From Auto Under $5000,2007,4,16XX E KENT AVE N,1600 E KENT AVE N,"1600 E KENT AVE N , Vancouver, BC, Canada",49.2094314,-123.0737236,49.20982923,-123.0734296,1
3969,Theft From Auto Under $5000,2007,4,14XX ANDERSON ST,1400 ANDERSON ST,"1400 ANDERSON ST , Vancouver, BC, Canada",49.2708035,-123.135533,49.27111248,-123.1351444,1
3970,Theft From Auto Under $5000,2007,4,11XX ROBSON ST,1100 ROBSON ST,"1100 ROBSON ST , Vancouver, BC, Canada",49.28457,-123.12536,49.28481858,-123.1252239,1
3971,Theft From Auto Under $5000,2007,4,E PENDER ST / GORE AVE,E PENDER ST / GORE AVE,"E PENDER ST & GORE AVE , Vancouver, BC, Canada",49.28033,-123.09733,49.28047857,-123.0970588,1
3972,Theft From Auto Under $5000,2007,4,61XX HIGHBURY ST,6100 HIGHBURY ST,"6100 HIGHBURY ST , Vancouver, BC, Canada",49.2312163,-123.1882051,49.23142092,-123.1880849,1
3973,Theft From Auto Under $5000,2007,4,4XX BLOCK SEYMOUR ST,400 BLOCK SEYMOUR ST,"400 BLOCK SEYMOUR ST , Vancouver, BC, Canada",49.2844743,-123.1129097,49.28477525,-123.1125544,1
3974,Theft From Auto Under $5000,2007,4,71XX KILLARNEY ST,7100 KILLARNEY ST,"7100 KILLARNEY ST , Vancouver, BC, Canada",49.2193871,-123.0449272,49.21980795,-123.0447913,1
3975,Theft From Auto Under $5000,2007,4,RENFREW ST / E BROADWAY AVE,RENFREW ST / E BROADWAY AVE,"RENFREW ST & E BROADWAY AVE , Vancouver, BC, Canada",49.26196,-123.04429,49.26218455,-123.0441073,1
3976,Theft From Auto Under $5000,2007,4,12XX ROBSON ST,1200 ROBSON ST,"1200 ROBSON ST , Vancouver, BC, Canada",49.2859863,-123.1272122,49.28631714,-123.127048,1
3977,Theft From Auto Under $5000,2007,4,INVERNESS ST / E 55TH AVE,INVERNESS ST / E 55TH AVE,"INVERNESS ST & E 55TH AVE , Vancouver, BC, Canada",49.2196,-123.08014,49.22003725,-123.0797815,1
3978,Theft From Auto Under $5000,2007,4,28XX BLOCK E HASTINGS ST,2800 BLOCK E HASTINGS ST,"2800 BLOCK E HASTINGS ST , Vancouver, BC, Canada",49.2809951,-123.046401,49.28129429,-123.046296,1
3979,Theft From Auto Under $5000,2007,4,8XX ROBSON ST,800 ROBSON ST,"800 ROBSON ST , Vancouver, BC, Canada",49.2818944,-123.1208755,49.28220623,-123.1206254,1
3980,Theft From Auto Under $5000,2007,4,10XX BLOCK HORNBY ST,1000 BLOCK HORNBY ST,"1000 BLOCK HORNBY ST , Vancouver, BC, Canada",49.2802739,-123.1250606,49.28050977,-123.1247399,1
3981,Theft From Auto Under $5000,2007,4,5XX SEYMOUR ST,500 SEYMOUR ST,"500 SEYMOUR ST , Vancouver, BC, Canada",49.2837796,-123.113949,49.2841543,-123.1137686,1
3982,Theft From Auto Under $5000,2007,4,GRANVILLE ST / W 70TH AVE,GRANVILLE ST / W 70TH AVE,"GRANVILLE ST & W 70TH AVE , Vancouver, BC, Canada",49.20855,-123.14053,49.20866459,-123.1403127,1
3983,Theft From Auto Under $5000,2007,4,NELSON ST / SEYMOUR ST,NELSON ST / SEYMOUR ST,"NELSON ST & SEYMOUR ST , Vancouver, BC, Canada",49.27861,-123.12203,49.27894659,-123.1215851,1
3984,Theft From Auto Under $5000,2007,4,13XX SW MARINE DR,1300 SW MARINE DR,"1300 SW MARINE DR , Vancouver, BC, Canada",49.2029375,-123.1350183,49.20311141,-123.1348773,1
3985,Theft From Auto Under $5000,2007,4,E CORDOVA ST / CARRALL ST,E CORDOVA ST / CARRALL ST,"E CORDOVA ST & CARRALL ST , Vancouver, BC, Canada",49.28246,-123.1043,49.28284597,-123.1041227,1
3986,Theft From Auto Under $5000,2007,4,13XX SW MARINE DR,1300 SW MARINE DR,"1300 SW MARINE DR , Vancouver, BC, Canada",49.2029375,-123.1350183,49.20341647,-123.1347037,1
3987,Theft From Auto Under $5000,2007,4,SEYMOUR ST / W GEORGIA ST,SEYMOUR ST / W GEORGIA ST,"SEYMOUR ST & W GEORGIA ST , Vancouver, BC, Canada",49.28186,-123.11712,49.28220817,-123.1169903,1
3988,Theft From Auto Under $5000,2007,4,10XX BEACH AVE,1000 BEACH AVE,"1000 BEACH AVE , Vancouver, BC, Canada",49.27562,-123.1342,49.27578918,-123.1338679,1
3989,Theft From Auto Under $5000,2007,4,10XX BURRARD ST,1000 BURRARD ST,"1000 BURRARD ST , Vancouver, BC, Canada",49.27986,-123.12661,49.28012743,-123.1261964,1
3990,Theft From Auto Under $5000,2007,4,13XX BLOCK SW MARINE DR,1300 BLOCK SW MARINE DR,"1300 BLOCK SW MARINE DR , Vancouver, BC, Canada",49.2029375,-123.1350183,49.20317258,-123.1345379,1
3991,Theft From Auto Under $5000,2007,4,10XX HORNBY ST,1000 HORNBY ST,"1000 HORNBY ST , Vancouver, BC, Canada",49.2802739,-123.1250606,49.28056146,-123.1246165,1
3993,Theft From Auto Under $5000,2007,4,16XX NAPIER ST,1600 NAPIER ST,"1600 NAPIER ST , Vancouver, BC, Canada",49.2747251,-123.0699693,49.27492481,-123.0695346,1
3994,Theft From Auto Under $5000,2007,4,85XX GRANVILLE ST,8500 GRANVILLE ST,"8500 GRANVILLE ST , Vancouver, BC, Canada",49.2094376,-123.1402685,49.20968719,-123.1399678,1
3995,Theft From Auto Under $5000,2007,4,17XX BLOCK E 4TH AVE,1700 BLOCK E 4TH AVE,"1700 BLOCK E 4TH AVE , Vancouver, BC, Canada",49.2669451,-123.069455,49.26738559,-123.0693367,1
3996,Theft From Auto Under $5000,2007,4,5XX W HASTINGS ST,500 W HASTINGS ST,"500 W HASTINGS ST , Vancouver, BC, Canada",49.2840058,-123.11209,49.28423971,-123.1119524,1
3997,Theft From Auto Under $5000,2007,4,1XX ROBSON ST,100 ROBSON ST,"100 ROBSON ST , Vancouver, BC, Canada",49.2775752,-123.1142182,49.27799718,-123.1139774,1
3998,Theft From Auto Under $5000,2007,4,DRAKE ST / GRANVILLE ST,DRAKE ST / GRANVILLE ST,"DRAKE ST & GRANVILLE ST , Vancouver, BC, Canada",49.27611,-123.12781,49.27631559,-123.1274067,1
3999,Theft From Auto Under $5000,2007,4,RICHARDS ST / W PENDER ST,RICHARDS ST / W PENDER ST,"RICHARDS ST & W PENDER ST , Vancouver, BC, Canada",49.2834,-123.11288,49.2838886,-123.112541,1
4001,Theft From Auto Under $5000,2007,4,22XX W 10TH AVE,2200 W 10TH AVE,"2200 W 10TH AVE , Vancouver, BC, Canada",49.2627351,-123.1555322,49.26317222,-123.1553139,1
4002,Theft From Auto Under $5000,2007,4,E 1ST AVE / RUPERT ST,E 1ST AVE / RUPERT ST,"E 1ST AVE & RUPERT ST , Vancouver, BC, Canada",49.2694199,-123.02758,49.26985213,-123.0271259,1
4003,Theft From Auto Under $5000,2007,4,E PENDER ST / MAIN ST,E PENDER ST / MAIN ST,"E PENDER ST & MAIN ST , Vancouver, BC, Canada",49.28038,-123.0997,49.28081625,-123.0993939,1
4004,Theft From Auto Under $5000,2007,4,DUNSMUIR ST / RICHARDS ST,DUNSMUIR ST / RICHARDS ST,"DUNSMUIR ST & RICHARDS ST , Vancouver, BC, Canada",49.28234,-123.11446,49.28245006,-123.1142159,1
4005,Theft From Auto Under $5000,2007,4,5XX RICHARDS ST,500 RICHARDS ST,"500 RICHARDS ST , Vancouver, BC, Canada",49.2831573,-123.1129627,49.28337842,-123.1125075,1
4006,Theft From Auto Under $5000,2007,4,5XX BLOCK RICHARDS ST,500 BLOCK RICHARDS ST,"500 BLOCK RICHARDS ST , Vancouver, BC, Canada",49.2831573,-123.1129627,49.28355212,-123.1124781,1
4007,Theft From Auto Under $5000,2007,4,1XX ROBSON ST,100 ROBSON ST,"100 ROBSON ST , Vancouver, BC, Canada",49.2775752,-123.1142182,49.27784975,-123.1140883,1
4008,Theft From Auto Under $5000,2007,4,10XX BLOCK E 51ST AVE,1000 BLOCK E 51ST AVE,"1000 BLOCK E 51ST AVE , Vancouver, BC, Canada",49.2234143,-123.0850327,49.22358752,-123.0846983,1
4009,Theft From Auto Under $5000,2007,4,6XX GRANVILLE ST,600 GRANVILLE ST,"600 GRANVILLE ST , Vancouver, BC, Canada",49.2833707,-123.1165078,49.28361836,-123.1162936,1
4010,Theft From Auto Under $5000,2007,4,14XX BLOCK ROBSON ST,1400 BLOCK ROBSON ST,"1400 BLOCK ROBSON ST , Vancouver, BC, Canada",49.28807,-123.13081,49.28840051,-123.1306622,1
4011,Theft From Auto Under $5000,2007,4,11XX W HASTINGS ST,1100 W HASTINGS ST,"1100 W HASTINGS ST , Vancouver, BC, Canada",49.2878376,-123.1199394,49.28797324,-123.1195969,1
4012,Theft From Auto Under $5000,2007,4,14XX ROBSON ST,1400 ROBSON ST,"1400 ROBSON ST , Vancouver, BC, Canada",49.28807,-123.13081,49.28829903,-123.1307079,1
4013,Theft From Auto Under $5000,2007,4,JACKSON AVE / E CORDOVA ST,JACKSON AVE / E CORDOVA ST,"JACKSON AVE & E CORDOVA ST , Vancouver, BC, Canada",49.28217,-123.09339,49.2824976,-123.0929432,1
4015,Theft From Auto Under $5000,2007,4,12XX BLOCK GRANVILLE ST,1200 BLOCK GRANVILLE ST,"1200 BLOCK GRANVILLE ST , Vancouver, BC, Canada",49.2769284,-123.1262661,49.27735621,-123.1259726,1
4016,Theft From Auto Under $5000,2007,4,3XX W GEORGIA ST,300 W GEORGIA ST,"300 W GEORGIA ST , Vancouver, BC, Canada",49.28008,-123.11534,49.28025812,-123.1150592,1
4017,Theft From Auto Under $5000,2007,4,13XX SW MARINE DR,1300 SW MARINE DR,"1300 SW MARINE DR , Vancouver, BC, Canada",49.2029375,-123.1350183,49.20304673,-123.1347959,1
4018,Theft From Auto Under $5000,2007,4,35XX VANNESS AVE,3500 VANNESS AVE,"3500 VANNESS AVE , Vancouver, BC, Canada",49.2370486,-123.0296816,49.23716858,-123.0295358,1
4019,Theft From Auto Under $5000,2007,4,22XX MARLIN QUAY,2200 MARLIN QUAY,"2200 MARLIN QUAY , Vancouver, BC, Canada",49.2066453,-123.0598764,49.20696464,-123.0596324,1
4020,Theft From Auto Under $5000,2007,4,10XX BEACH AVE,1000 BEACH AVE,"1000 BEACH AVE , Vancouver, BC, Canada",49.27562,-123.1342,49.27603088,-123.1337633,1
4021,Theft From Auto Under $5000,2007,4,24XX E 26TH AVE,2400 E 26TH AVE,"2400 E 26TH AVE , Vancouver, BC, Canada",49.2470251,-123.0564298,49.24728549,-123.0561825,1
4022,Theft From Auto Under $5000,2007,4,3XX E 2ND AVE,300 E 2ND AVE,"300 E 2ND AVE , Vancouver, BC, Canada",49.2675505,-123.0981123,49.26775554,-123.0979569,1
4023,Theft From Auto Under $5000,2007,4,20XX W 18TH AVE,2000 W 18TH AVE,"2000 W 18TH AVE , Vancouver, BC, Canada",49.2552551,-123.1510205,49.25558447,-123.1507414,1
4024,Theft From Auto Under $5000,2007,4,23XX BLOCK HEMLOCK ST,2300 BLOCK HEMLOCK ST,"2300 BLOCK HEMLOCK ST , Vancouver, BC, Canada",49.2651588,-123.1358851,49.26554998,-123.1355033,1
4025,Theft From Auto Under $5000,2007,4,28XX BLOCK W 5TH AVE,2800 BLOCK W 5TH AVE,"2800 BLOCK W 5TH AVE , Vancouver, BC, Canada",49.2673251,-123.1685643,49.26749459,-123.1683318,1
4026,Theft From Auto Under $5000,2007,4,25XX E 28TH AVE,2500 E 28TH AVE,"2500 E 28TH AVE , Vancouver, BC, Canada",49.2453451,-123.0540293,49.24561826,-123.0537291,1
4027,Theft From Auto Under $5000,2007,4,10XX BEACH AVE,1000 BEACH AVE,"1000 BEACH AVE , Vancouver, BC, Canada",49.27562,-123.1342,49.27589649,-123.1338632,1
4028,Theft From Auto Under $5000,2007,4,38XX W 18TH AVE,3800 W 18TH AVE,"3800 W 18TH AVE , Vancouver, BC, Canada",49.2563851,-123.1882507,49.2565897,-123.1880519,1
4029,Theft From Auto Under $5000,2007,4,44XX W 15TH AVE,4400 W 15TH AVE,"4400 W 15TH AVE , Vancouver, BC, Canada",49.2591051,-123.2064233,49.25958052,-123.2059529,1
4030,Theft From Auto Under $5000,2007,4,2XX UNION ST,200 UNION ST,"200 UNION ST , Vancouver, BC, Canada",49.2775444,-123.0995769,49.2779361,-123.0992317,1
4031,Theft From Auto Under $5000,2007,4,5XX RICHARDS ST,500 RICHARDS ST,"500 RICHARDS ST , Vancouver, BC, Canada",49.2831573,-123.1129627,49.28345682,-123.112687,1
4032,Theft From Auto Under $5000,2007,4,MAIN ST / E 16TH AVE,MAIN ST / E 16TH AVE,"MAIN ST & E 16TH AVE , Vancouver, BC, Canada",49.25661,-123.10124,49.25690815,-123.1009464,1
4033,Theft From Auto Under $5000,2007,4,3XX E 7TH AVE,300 E 7TH AVE,"300 E 7TH AVE , Vancouver, BC, Canada",49.2644535,-123.0986328,49.26490116,-123.098232,1
4034,Theft From Auto Under $5000,2007,4,24XX E 27TH AVE,2400 E 27TH AVE,"2400 E 27TH AVE , Vancouver, BC, Canada",49.2462213,-123.0563884,49.24653969,-123.0559346,1
4035,Theft From Auto Under $5000,2007,4,19XX BEACH AVE,1900 BEACH AVE,"1900 BEACH AVE , Vancouver, BC, Canada",49.2885765,-123.1431627,49.28884716,-123.1429041,1
4036,Theft From Auto Under $5000,2007,4,E 22ND AVE / GLEN DR,E 22ND AVE / GLEN DR,"E 22ND AVE & GLEN DR , Vancouver, BC, Canada",49.25095,-123.08187,49.25117716,-123.0814052,1
4037,Theft From Auto Under $5000,2007,4,46XX W 7TH AVE,4600 W 7TH AVE,"4600 W 7TH AVE , Vancouver, BC, Canada",49.2663551,-123.2122217,49.26652268,-123.2119821,1
4038,Theft From Auto Under $5000,2007,4,42XX KNIGHT ST,4200 KNIGHT ST,"4200 KNIGHT ST , Vancouver, BC, Canada",49.2473394,-123.0760551,49.2477663,-123.0755998,1
4039,Theft From Auto Under $5000,2007,4,8XX BLOCK DRAKE ST,800 BLOCK DRAKE ST,"800 BLOCK DRAKE ST , Vancouver, BC, Canada",49.2766948,-123.1290168,49.27700863,-123.1286893,1
4040,Theft From Auto Under $5000,2007,4,13XX SW MARINE DR,1300 SW MARINE DR,"1300 SW MARINE DR , Vancouver, BC, Canada",49.2029375,-123.1350183,49.20341599,-123.1346245,1
4041,Theft From Auto Under $5000,2007,4,6XX SEYMOUR ST,600 SEYMOUR ST,"600 SEYMOUR ST , Vancouver, BC, Canada",49.2827385,-123.1155377,49.28289234,-123.1154084,1
4042,Theft From Auto Under $5000,2007,4,16XX BLOCK W 12TH AVE,1600 BLOCK W 12TH AVE,"1600 BLOCK W 12TH AVE , Vancouver, BC, Canada",49.2606951,-123.1413621,49.26088202,-123.1409614,1
4043,Theft From Auto Under $5000,2007,4,10XX SW MARINE DR,1000 SW MARINE DR,"1000 SW MARINE DR , Vancouver, BC, Canada",49.2044059,-123.1306091,49.20487119,-123.1304207,1
4044,Theft From Auto Under $5000,2007,4,35XX PRICE ST,3500 PRICE ST,"3500 PRICE ST , Vancouver, BC, Canada",49.241579,-123.0283125,49.2417158,-123.0280708,1
4045,Theft From Auto Under $5000,2007,4,SEYMOUR ST / W HASTINGS ST,SEYMOUR ST / W HASTINGS ST,"SEYMOUR ST & W HASTINGS ST , Vancouver, BC, Canada",49.28469,-123.11288,49.28498695,-123.1127428,1
4046,Theft From Auto Under $5000,2007,4,18XX BLOCK FRANCES ST,1800 BLOCK FRANCES ST,"1800 BLOCK FRANCES ST , Vancouver, BC, Canada",49.2792735,-123.0680296,49.27965837,-123.067711,1
4047,Theft From Auto Under $5000,2007,4,8XX W 10TH AVE,800 W 10TH AVE,"800 W 10TH AVE , Vancouver, BC, Canada",49.2622451,-123.1221017,49.26240209,-123.1216025,1
4048,Theft From Auto Under $5000,2007,4,21XX GRANT ST,2100 GRANT ST,"2100 GRANT ST , Vancouver, BC, Canada",49.2710851,-123.0616299,49.27141717,-123.0613524,1
4049,Theft From Auto Under $5000,2007,4,10XX BEACH AVE,1000 BEACH AVE,"1000 BEACH AVE , Vancouver, BC, Canada",49.27562,-123.1342,49.27590032,-123.1340348,1
4050,Theft From Auto Under $5000,2007,4,36XX W 20TH AVE,3600 W 20TH AVE,"3600 W 20TH AVE , Vancouver, BC, Canada",49.2545351,-123.1853762,49.25466708,-123.1850661,1
4051,Theft From Auto Under $5000,2007,4,1XX W PENDER ST,100 W PENDER ST,"100 W PENDER ST , Vancouver, BC, Canada",49.28096,-123.10846,49.28122315,-123.1082586,1
4052,Theft From Auto Under $5000,2007,4,81XX EAST BLVD,8100 EAST BLVD,"8100 EAST BLVD , Vancouver, BC, Canada",49.2123082,-123.1457641,49.21241471,-123.1455328,1
4053,Theft From Auto Under $5000,2007,4,3XX W 2ND AVE,300 W 2ND AVE,"300 W 2ND AVE , Vancouver, BC, Canada",49.2682304,-123.1112285,49.26853371,-123.1108049,1
4054,Theft From Auto Under $5000,2007,4,6XX GRANVILLE ST,600 GRANVILLE ST,"600 GRANVILLE ST , Vancouver, BC, Canada",49.2833707,-123.1165078,49.28377234,-123.1162643,1
4055,Theft From Auto Under $5000,2007,4,6XX GRANVILLE ST,600 GRANVILLE ST,"600 GRANVILLE ST , Vancouver, BC, Canada",49.2833707,-123.1165078,49.2835168,-123.1163513,1
4056,Theft From Auto Under $5000,2007,4,77XX VICTORIA DR,7700 VICTORIA DR,"7700 VICTORIA DR , Vancouver, BC, Canada",49.2143837,-123.0658337,49.21482405,-123.0654243,1
4057,Theft From Auto Under $5000,2007,4,12XX W 14TH AVE,1200 W 14TH AVE,"1200 W 14TH AVE , Vancouver, BC, Canada",49.2586651,-123.1316834,49.25896396,-123.1313407,1
4058,Theft From Auto Under $5000,2007,4,CLARK DR / E HASTINGS ST,CLARK DR / E HASTINGS ST,"CLARK DR & E HASTINGS ST , Vancouver, BC, Canada",49.28134,-123.0771,49.28180591,-123.0768624,1
4059,Theft From Auto Under $5000,2007,4,2XX W PENDER ST,200 W PENDER ST,"200 W PENDER ST , Vancouver, BC, Canada",49.2814856,-123.1101995,49.28174606,-123.1099113,1
4060,Theft From Auto Under $5000,2007,4,24XX W 1ST AVE,2400 W 1ST AVE,"2400 W 1ST AVE , Vancouver, BC, Canada",49.2707451,-123.1599743,49.27119265,-123.1595533,1
4061,Theft From Auto Under $5000,2007,4,43XX KEVIN PL,4300 KEVIN PL,"4300 KEVIN PL , Vancouver, BC, Canada",49.2487298,-123.201429,49.24890056,-123.2010503,1
4062,Theft From Auto Under $5000,2007,4,16XX ALBERNI ST,1600 ALBERNI ST,"1600 ALBERNI ST , Vancouver, BC, Canada",49.2901167,-123.1315032,49.29046345,-123.131267,1
4063,Theft From Auto Under $5000,2007,4,6XX KINGHORNE MEWS,600 KINGHORNE MEWS,"600 KINGHORNE MEWS , Vancouver, BC, Canada",49.2729964,-123.1314526,49.27323272,-123.131163,1
4064,Theft From Auto Under $5000,2007,4,6XX W GEORGIA ST,600 W GEORGIA ST,"600 W GEORGIA ST , Vancouver, BC, Canada",49.2818243,-123.1173443,49.28206734,-123.1170436,1
4065,Theft From Auto Under $5000,2007,4,1XX W WATERFRONT RD,100 W WATERFRONT RD,"100 W WATERFRONT RD , Vancouver, BC, Canada",49.2847471,-123.1048725,49.28495467,-123.1044971,1
4066,Theft From Auto Under $5000,2007,4,11XX HARO ST,1100 HARO ST,"1100 HARO ST , Vancouver, BC, Canada",49.2838563,-123.1261119,49.28424535,-123.1257125,1
4067,Theft From Auto Under $5000,2007,4,5XX TAYLOR ST,500 TAYLOR ST,"500 TAYLOR ST , Vancouver, BC, Canada",49.2805107,-123.105474,49.28072564,-123.1051475,1
4068,Theft From Auto Under $5000,2007,4,5XX E PENDER ST,500 E PENDER ST,"500 E PENDER ST , Vancouver, BC, Canada",49.2801351,-123.09348,49.2803971,-123.093291,1
4069,Theft From Auto Under $5000,2007,4,36XX W 1ST AVE,3600 W 1ST AVE,"3600 W 1ST AVE , Vancouver, BC, Canada",49.2711451,-123.1837431,49.27160672,-123.1836295,1
4070,Theft From Auto Under $5000,2007,4,11XX HORNBY ST,1100 HORNBY ST,"1100 HORNBY ST , Vancouver, BC, Canada",49.2792391,-123.1266433,49.27962886,-123.1263386,1
4071,Theft From Auto Under $5000,2007,4,7XX SEYMOUR ST,700 SEYMOUR ST,"700 SEYMOUR ST , Vancouver, BC, Canada",49.2816172,-123.1172078,49.28200061,-123.1169931,1
4072,Theft From Auto Under $5000,2007,4,5XX CAMBIE ST,500 CAMBIE ST,"500 CAMBIE ST , Vancouver, BC, Canada",49.2812673,-123.1100581,49.28167221,-123.1097327,1
4074,Theft From Auto Under $5000,2007,4,5XX RICHARDS ST,500 RICHARDS ST,"500 RICHARDS ST , Vancouver, BC, Canada",49.2831573,-123.1129627,49.28341507,-123.112614,1
4075,Theft From Auto Under $5000,2007,4,14XX ROBSON ST,1400 ROBSON ST,"1400 ROBSON ST , Vancouver, BC, Canada",49.28807,-123.13081,49.28817617,-123.1307086,1
4076,Theft From Auto Under $5000,2007,4,HOWE ST / W GEORGIA ST,HOWE ST / W GEORGIA ST,"HOWE ST & W GEORGIA ST , Vancouver, BC, Canada",49.2831199,-123.11916,49.28346813,-123.1187435,1
4077,Theft From Auto Under $5000,2007,4,13XX BLOCK DAVIE ST,1300 BLOCK DAVIE ST,"1300 BLOCK DAVIE ST , Vancouver, BC, Canada",49.2827663,-123.135142,49.28300802,-123.1349541,1
4078,Theft From Auto Under $5000,2007,4,7XX W PENDER ST,700 W PENDER ST,"700 W PENDER ST , Vancouver, BC, Canada",49.2848,-123.11562,49.28527841,-123.1154682,1
4079,Theft From Auto Under $5000,2007,4,36XX BLOCK E PENDER ST,3600 BLOCK E PENDER ST,"3600 BLOCK E PENDER ST , Vancouver, BC, Canada",49.2801051,-123.0254793,49.28035089,-123.0251638,1
4080,Theft From Auto Under $5000,2007,4,2XX BLOCK E 12TH AVE,200 BLOCK E 12TH AVE,"200 BLOCK E 12TH AVE , Vancouver, BC, Canada",49.2600551,-123.1001659,49.2603443,-123.0997538,1
4081,Theft From Auto Under $5000,2007,4,10XX HOWE ST,1000 HOWE ST,"1000 HOWE ST , Vancouver, BC, Canada",49.2796589,-123.1241149,49.28007125,-123.123756,1
4082,Theft From Auto Under $5000,2007,4,6XX GRANVILLE ST,600 GRANVILLE ST,"600 GRANVILLE ST , Vancouver, BC, Canada",49.2833707,-123.1165078,49.28370297,-123.1163696,1
4083,Theft From Auto Under $5000,2007,4,32XX ONTARIO ST,3200 ONTARIO ST,"3200 ONTARIO ST , Vancouver, BC, Canada",49.2564915,-123.1047242,49.25666914,-123.1043898,1
4084,Theft From Auto Under $5000,2007,4,14XX ROBSON ST,1400 ROBSON ST,"1400 ROBSON ST , Vancouver, BC, Canada",49.28807,-123.13081,49.28821322,-123.130317,1
4085,Theft From Auto Under $5000,2007,4,5XX TAYLOR ST,500 TAYLOR ST,"500 TAYLOR ST , Vancouver, BC, Canada",49.2805107,-123.105474,49.28069326,-123.1050622,1
4086,Theft From Auto Under $5000,2007,4,11XX W HASTINGS ST,1100 W HASTINGS ST,"1100 W HASTINGS ST , Vancouver, BC, Canada",49.2878376,-123.1199394,49.28824512,-123.119689,1
4087,Theft From Auto Under $5000,2007,4,22XX W 1ST AVE,2200 W 1ST AVE,"2200 W 1ST AVE , Vancouver, BC, Canada",49.2706951,-123.1552128,49.27097944,-123.1548262,1
4088,Theft From Auto Under $5000,2007,4,7XX E 15TH AVE,700 E 15TH AVE,"700 E 15TH AVE , Vancouver, BC, Canada",49.2570555,-123.0893689,49.25740049,-123.088985,1
4089,Theft From Auto Under $5000,2007,4,28XX BLOCK CAROLINA ST,2800 BLOCK CAROLINA ST,"2800 BLOCK CAROLINA ST , Vancouver, BC, Canada",49.2595835,-123.0909751,49.25975459,-123.0907588,1
4090,Theft From Auto Under $5000,2007,4,27XX W 5TH AVE,2700 W 5TH AVE,"2700 W 5TH AVE , Vancouver, BC, Canada",49.2672,-123.16661,49.26748312,-123.1664941,1
4091,Theft From Auto Under $5000,2007,4,9XX HOMER ST,900 HOMER ST,"900 HOMER ST , Vancouver, BC, Canada",49.2781601,-123.1185532,49.27826912,-123.1183111,1
4092,Theft From Auto Under $5000,2007,4,38XX W 15TH AVE,3800 W 15TH AVE,"3800 W 15TH AVE , Vancouver, BC, Canada",49.2588351,-123.1881727,49.25923232,-123.1880164,1
4093,Theft From Auto Under $5000,2007,4,21XX W 7TH AVE,2100 W 7TH AVE,"2100 W 7TH AVE , Vancouver, BC, Canada",49.2654651,-123.1530721,49.26573839,-123.1529205,1
4094,Theft From Auto Under $5000,2007,4,9XX HOMER ST,900 HOMER ST,"900 HOMER ST , Vancouver, BC, Canada",49.2781601,-123.1185532,49.27836182,-123.118214,1
